SessionId,SessionCode,Condition,SequenceNumber,Sender,Message,CreatedAtUtc
b03670ee-e716-409a-a087-65f016937764,EXP-6E93885D,Human,1,Participant,¿Qué opinas sobre la inteligencia artificial en la educación?,2026-08-20T09:00:20Z
b03670ee-e716-409a-a087-65f016937764,EXP-6E93885D,Human,2,Interlocutor,"Creo que puede ayudar mucho, pero no debería reemplazar al profesor.",2026-08-20T09:00:40Z
b03670ee-e716-409a-a087-65f016937764,EXP-6E93885D,Human,3,Participant,¿Cómo describirías tu día hasta ahora?,2026-08-20T09:01:00Z
b03670ee-e716-409a-a087-65f016937764,EXP-6E93885D,Human,4,Interlocutor,"Ha sido tranquilo, estuve trabajando en un proyecto de la universidad.",2026-08-20T09:01:20Z
b03670ee-e716-409a-a087-65f016937764,EXP-6E93885D,Human,5,Participant,¿Cuál es tu comida favorita y por qué?,2026-08-20T09:01:40Z
b03670ee-e716-409a-a087-65f016937764,EXP-6E93885D,Human,6,Interlocutor,"Me gusta mucho la pasta, sobre todo si la prepara mi mamá.",2026-08-20T09:02:00Z
26be5f4a-8574-493e-91b5-b78e64f9f5dc,EXP-6A7F59A5,Human,1,Participant,Cuéntame sobre un libro que te haya marcado.,2026-08-20T09:15:20Z
26be5f4a-8574-493e-91b5-b78e64f9f5dc,EXP-6A7F59A5,Human,2,Interlocutor,"Leí uno sobre hábitos hace poco, me hizo repensar mi rutina diaria.",2026-08-20T09:15:40Z
26be5f4a-8574-493e-91b5-b78e64f9f5dc,EXP-6A7F59A5,Human,3,Participant,¿Qué opinas sobre la inteligencia artificial en la educación?,2026-08-20T09:16:00Z
26be5f4a-8574-493e-91b5-b78e64f9f5dc,EXP-6A7F59A5,Human,4,Interlocutor,"Creo que puede ayudar mucho, pero no debería reemplazar al profesor.",2026-08-20T09:16:20Z
cd330fa6-2a60-4985-964f-a1d3dc6bc218,EXP-B84AAE6E,Human,1,Participant,¿Qué opinas de las redes sociales hoy en día?,2026-08-20T09:30:20Z
cd330fa6-2a60-4985-964f-a1d3dc6bc218,EXP-B84AAE6E,Human,2,Interlocutor,"Tienen cosas buenas, pero a veces consumen demasiado tiempo.",2026-08-20T09:30:40Z
cd330fa6-2a60-4985-964f-a1d3dc6bc218,EXP-B84AAE6E,Human,3,Participant,¿Cómo describirías tu día hasta ahora?,2026-08-20T09:31:00Z
cd330fa6-2a60-4985-964f-a1d3dc6bc218,EXP-B84AAE6E,Human,4,Interlocutor,"Ha sido tranquilo, estuve trabajando en un proyecto de la universidad.",2026-08-20T09:31:20Z
cd330fa6-2a60-4985-964f-a1d3dc6bc218,EXP-B84AAE6E,Human,5,Participant,¿Qué es lo que más valoras en una amistad?,2026-08-20T09:31:40Z
cd330fa6-2a60-4985-964f-a1d3dc6bc218,EXP-B84AAE6E,Human,6,Interlocutor,La sinceridad y que estén presentes en los momentos difíciles.,2026-08-20T09:32:00Z
b7db1d4e-bb27-4a72-8616-96792e869289,EXP-8DB83627,Human,1,Participant,¿Qué harías si tuvieras un día libre inesperado?,2026-08-20T09:45:20Z
b7db1d4e-bb27-4a72-8616-96792e869289,EXP-8DB83627,Human,2,Interlocutor,Probablemente saldría a caminar y luego vería una película.,2026-08-20T09:45:40Z
b7db1d4e-bb27-4a72-8616-96792e869289,EXP-8DB83627,Human,3,Participant,¿Qué es lo que más valoras en una amistad?,2026-08-20T09:46:00Z
b7db1d4e-bb27-4a72-8616-96792e869289,EXP-8DB83627,Human,4,Interlocutor,La sinceridad y que estén presentes en los momentos difíciles.,2026-08-20T09:46:20Z
7d850565-05f2-41eb-9d17-1edf7a8807c0,EXP-F1ED713C,Human,1,Participant,¿Qué harías si tuvieras un día libre inesperado?,2026-08-20T10:00:20Z
7d850565-05f2-41eb-9d17-1edf7a8807c0,EXP-F1ED713C,Human,2,Interlocutor,Probablemente saldría a caminar y luego vería una película.,2026-08-20T10:00:40Z
7d850565-05f2-41eb-9d17-1edf7a8807c0,EXP-F1ED713C,Human,3,Participant,¿Qué es lo que más valoras en una amistad?,2026-08-20T10:01:00Z
7d850565-05f2-41eb-9d17-1edf7a8807c0,EXP-F1ED713C,Human,4,Interlocutor,La sinceridad y que estén presentes en los momentos difíciles.,2026-08-20T10:01:20Z
7d850565-05f2-41eb-9d17-1edf7a8807c0,EXP-F1ED713C,Human,5,Participant,¿Qué opinas de las redes sociales hoy en día?,2026-08-20T10:01:40Z
7d850565-05f2-41eb-9d17-1edf7a8807c0,EXP-F1ED713C,Human,6,Interlocutor,"Tienen cosas buenas, pero a veces consumen demasiado tiempo.",2026-08-20T10:02:00Z
eb11de29-92ed-4a5d-a954-11937d9e45cb,EXP-4ED219D3,Human,1,Participant,¿Cómo crees que será la tecnología en 10 años?,2026-08-20T10:15:20Z
eb11de29-92ed-4a5d-a954-11937d9e45cb,EXP-4ED219D3,Human,2,Interlocutor,Pienso que la IA estará mucho más integrada en la vida diaria.,2026-08-20T10:15:40Z
eb11de29-92ed-4a5d-a954-11937d9e45cb,EXP-4ED219D3,Human,3,Participant,¿Cuál es tu comida favorita y por qué?,2026-08-20T10:16:00Z
eb11de29-92ed-4a5d-a954-11937d9e45cb,EXP-4ED219D3,Human,4,Interlocutor,"Me gusta mucho la pasta, sobre todo si la prepara mi mamá.",2026-08-20T10:16:20Z
eb11de29-92ed-4a5d-a954-11937d9e45cb,EXP-4ED219D3,Human,5,Participant,¿Cómo describirías tu día hasta ahora?,2026-08-20T10:16:40Z
abe48ae2-0515-48c5-afa2-ab6422e5400e,EXP-3A026215,Human,1,Participant,¿Qué opinas de las redes sociales hoy en día?,2026-08-20T10:30:20Z
abe48ae2-0515-48c5-afa2-ab6422e5400e,EXP-3A026215,Human,2,Interlocutor,"Tienen cosas buenas, pero a veces consumen demasiado tiempo.",2026-08-20T10:30:40Z
abe48ae2-0515-48c5-afa2-ab6422e5400e,EXP-3A026215,Human,3,Participant,¿Cómo manejas el estrés en época de exámenes?,2026-08-20T10:31:00Z
abe48ae2-0515-48c5-afa2-ab6422e5400e,EXP-3A026215,Human,4,Interlocutor,Trato de organizar mi tiempo con anticipación y descansar bien.,2026-08-20T10:31:20Z
eb3656de-d5d7-4647-b58c-cbcc1eda46a3,EXP-D1A8C541,Human,1,Participant,¿Qué harías si tuvieras un día libre inesperado?,2026-08-20T10:45:20Z
eb3656de-d5d7-4647-b58c-cbcc1eda46a3,EXP-D1A8C541,Human,2,Interlocutor,Probablemente saldría a caminar y luego vería una película.,2026-08-20T10:45:40Z
eb3656de-d5d7-4647-b58c-cbcc1eda46a3,EXP-D1A8C541,Human,3,Participant,¿Cómo manejas el estrés en época de exámenes?,2026-08-20T10:46:00Z
eb3656de-d5d7-4647-b58c-cbcc1eda46a3,EXP-D1A8C541,Human,4,Interlocutor,Trato de organizar mi tiempo con anticipación y descansar bien.,2026-08-20T10:46:20Z
a5efe5dc-fa1c-4644-8878-447c3a72b51b,EXP-3574BB75,Human,1,Participant,¿Qué opinas de las redes sociales hoy en día?,2026-08-20T11:00:20Z
a5efe5dc-fa1c-4644-8878-447c3a72b51b,EXP-3574BB75,Human,2,Interlocutor,"Tienen cosas buenas, pero a veces consumen demasiado tiempo.",2026-08-20T11:00:40Z
a5efe5dc-fa1c-4644-8878-447c3a72b51b,EXP-3574BB75,Human,3,Participant,¿Qué opinas sobre la inteligencia artificial en la educación?,2026-08-20T11:01:00Z
a5efe5dc-fa1c-4644-8878-447c3a72b51b,EXP-3574BB75,Human,4,Interlocutor,"Creo que puede ayudar mucho, pero no debería reemplazar al profesor.",2026-08-20T11:01:20Z
08d651d1-32a0-4152-8cd8-94407e9d2187,EXP-A0DF1011,Human,1,Participant,¿Cómo crees que será la tecnología en 10 años?,2026-08-20T11:15:20Z
08d651d1-32a0-4152-8cd8-94407e9d2187,EXP-A0DF1011,Human,2,Interlocutor,Pienso que la IA estará mucho más integrada en la vida diaria.,2026-08-20T11:15:40Z
08d651d1-32a0-4152-8cd8-94407e9d2187,EXP-A0DF1011,Human,3,Participant,¿Cuál es tu comida favorita y por qué?,2026-08-20T11:16:00Z
08d651d1-32a0-4152-8cd8-94407e9d2187,EXP-A0DF1011,Human,4,Interlocutor,"Me gusta mucho la pasta, sobre todo si la prepara mi mamá.",2026-08-20T11:16:20Z
08d651d1-32a0-4152-8cd8-94407e9d2187,EXP-A0DF1011,Human,5,Participant,¿Cómo describirías tu día hasta ahora?,2026-08-20T11:16:40Z
06e73db5-1ae1-4fb8-ab24-c3e88c9241ce,EXP-95652EEA,AI,1,Participant,"Si pudieras viajar a cualquier lugar, ¿a dónde irías?",2026-08-20T11:30:20Z
